Sr No,timestamp,act379,act13,act279,act323,act363,act302,latitude,longitude,FIR
1831,05-03-2018 06:15,0,0,1,0,0,0,22.7236,75.8591,FIR1357$
1832,05-03-2018 23:00,0,0,0,1,0,0,22.737,75.88501,FIR1918$
1833,05-03-2018 07:30,0,0,1,0,0,0,22.737,75.88501,FIR197$
1834,05-03-2018 19:30,0,1,0,0,0,0,22.7379,75.897,FIR469$
1835,05-03-2018 20:00,0,0,1,0,0,0,22.7657,75.8859,FIR247$
1836,05-03-2018 13:30,0,0,0,,0,0,22.7813,75.9034,FIR1282$
1837,05-03-2018 10:00,0,0,1,0,0,0,22.726,75.927,FIR1207$
1838,05-03-2018 14:00,0,0,,0,0,0,22.726,75.927,FIR334$
1839,05-03-2018 23:10,0,0,1,0,0,0,22.7462,,FIR1575$
1840,05-03-2018 19:05,1,0,0,0,0,0,22.794868,75.853759,FIR1395$
1841,05-03-2018 19:10,1,0,0,0,0,0,22.699621,75.859932,FIR36$
1842,05-03-2018 03:30,0,0,0,1,0,0,22.710027,75.862469,FIR263$
1843,05-03-2018 18:45,1,0,0,0,0,0,22.698714,75.868101,FIR480$
1844,05-03-2018 12:10,1,0,0,0,0,0,22.725692,75.838532,FIR393$
1845,05-03-2018 14:25,0,0,1,0,0,0,22.728529,75.845047,FIR1012$
1846,05-03-2018 15:40,0,0,1,0,0,0,22.728529,75.845047,FIR1613$
1847,05-03-2018 00:45,0,0,0,1,0,0,22.706607,75.838129,FIR908$
1848,05-03-2018 13:15,0,0,0,1,0,0,22.737303,75.885012,FIR1480$
1849,05-03-2018 14:00,0,0,1,0,0,0,22.696486,75.831778,FIR1615$
1850,05-03-2018 22:20,0,0,1,0,0,0,22.682472,75.837122,FIR993$
1851,05-03-2018 19:45,1,0,0,0,0,0,22.690853,75.770579,FIR793$
1852,05-03-2018 14:55,1,0,0,0,0,0,22.682074,75.852002,FIR1639$
1853,05-03-2018 21:40,0,0,1,0,0,0,22.671956,75.830021,FIR580$
1854,05-03-2018 22:00,0,0,0,0,0,,22.531931,75.769126,FIR1604$
1855,05-03-2018 19:10,0,0,1,0,0,0,22.929638,75.914387,FIR1165$
1856,05-03-2018 21:00,0,0,0,1,0,0,22.539009,75.911397,FIR776$
1857,05-03-2018 18:15,0,0,0,,0,0,22.851444,75.542195,FIR840$
1858,06-03-2018 11:40,0,0,0,1,0,0,22.727177,75.84129,FIR508$
1859,06-03-2018 17:30,0,0,1,0,0,0,22.728835,75.8796,FIR1133$
1860,06-03-2018 15:20,0,0,1,0,0,0,22.725116,75.887766,FIR1863$
1861,06-03-2018 21:15,0,0,0,1,0,0,22.738098,75.887258,FIR1800$
1862,06-03-2018 20:45,0,0,0,0,,,22.730898,75.913329,FIR1296$
1863,06-03-2018 13:45,0,0,1,0,0,0,22.703141,75.861505,FIR711$
1864,06-03-2018 15:30,0,0,0,1,0,0,22.701789,75.866702,FIR49$
1865,06-03-2018 17:25,0,0,0,1,0,0,22.69968,75.864652,FIR964$
